,0
high_low_diff,0.03649907324396837
ad,0.03556466761229602
volume_lag_1,0.03049930064568399
volume_pct_change,0.030102980950439114
rsi_14_4h,0.028863470030792662
nvi,0.02596299484489141
volume_lag_3,0.02315987523661379
close_pct_lag_1,0.022746146919826016
obv,0.021845977066797414
volume_lag_2,0.0216371032808146
close_pct_lag_3,0.02158056527038089
close_pct_lag_5,0.02097038879912894
close_pct_lag_2,0.02065888958428603
volume_lag_5,0.019961917693619692
close_pct_change,0.019920518422656013
bb_width,0.019428447311867724
return_5,0.01918311392870159
close_open_diff,0.017685504310350878
kst_sig,0.017166928403200093
eom,0.016106855568764854
ultimate_osc,0.016018392881703
dpo,0.01581486876898064
open_pct_change,0.015152737146799924
vpt,0.014331631354164017
return_2,0.013270428882464944
sma_50,0.01241868253188594
cmf,0.012309767661448659
adx_rsi,0.012183946845694217
stoch_k,0.011836293720147386
kc_width,0.011633148084957978
atr_pct,0.011505796177226907
williams_r,0.011265750604464093
rsi_21,0.01107041911907305
rsi_7,0.010684345451360848
macd_diff,0.010679074352148496
return_3,0.010189630199184556
bb_pct,0.009940534235854582
bb_high,0.009914053896721292
macd_rsi,0.009875026952534545
psar,0.009749550716868165
adx,0.009624986081757735
stoch_d,0.009147187329818994
macd_signal,0.009057609469911241
adx_pos,0.008913643975087
atr,0.008760222103084192
mfi,0.008711156778025262
fi,0.008689780607065222
close_to_high,0.008611754147404931
close_lag_3,0.008358245918520022
kst,0.008292716402004584
adx_4h,0.008121786360940885
bb_low,0.008099378213034697
return_10,0.008094523349945896
roc_20,0.007861266689594614
vortex_pos,0.0077657066444609115
vortex_neg,0.007744779869047485
close_to_low,0.007704319057352614
adx_neg,0.007603330156998442
macd_4h,0.006994862578988222
roc_10,0.00670635102087365
macd,0.00664326687946031
awesome_osc,0.00643683386887284
tsi,0.0060958757642037365
ppo,0.006063192857840913
close_lag_1,0.006017136279664636
close_lag_5,0.005952849801011974
close_lag_2,0.005661960861423614
ema_20,0.005294403081793825
rsi_14,0.005162510802478243
ema_50,0.004916864925349981
trix,0.004796094375136255
ichimoku_base,0.004672303340353217
kc_low,0.004426821855535309
ichimoku_b,0.004329208463643957
ema_10,0.004256209270679394
ichimoku_a,0.004217289722817195
kc_high,0.004098706256319239
ichimoku_conv,0.004005211490818378
rsi_14_1d,0.003947412805172146
macd_1d,0.0037119545899960216
sma_10,0.003606766797013284
sma_20,0.0030558289209786944
bb_mid,0.00300744986759119
adx_1d,0.0026482480154364925
dc_high,0.002640224513516458
dc_mid,0.0025172393704272376
dc_low,0.00247862183793755
morning_star,0.0021473901932685504
doji,0.000949393864803949
hammer,0.000841847492753453
engulfing,0.00044004143309618696
volatility_regime,0.0003412018427629275
range_regime,0.0003335408291463605
trend_regime,3.369226601652444e-05
rsi_sma_cross,0.0
